"NO","PACKAGING TYPE","PO NO.","ITEM NO.","BRAND","BATERY TYPE","CELL GRADE","ITEM REMARK 1","REMARK","DESTINATION","ORDER QTY","CR DATE","CURRENCY","PRICE","SALES AMOUNT","CR MONTH","SALES MONTH","TERM","STANDARD PRICE","STOCK WAREHOUSE","STOCK IN TRANSIT","JAN QTY","JAN AMT","FEB QTY","FEB AMT","MAR QTY","MAR AMT","APR QTY","APR AMT","MAY QTY","MAY AMT","JUN QTY","JUN AMT","JUL QTY","JUL AMT","AUG QTY","AUG AMT","SEP QTY","SEP AMT","OCT QTY","OCT AMT","NOV AMT","NOV AMT","DES AMT","DES AMT"
"1","MANUAL SHRINK LR03 (2S) FU","'FIFJ/1709","69200","FJ LONGLIFE JEC LR03 2S","LR03","C1","03. Domestic B to B","DOMESTIC OEM - CASIO HONGKONG","0","21600","15-FEB-18","US$","0.0879","1898.64","2","2","FOB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","MANUAL SHRINK LR03 (2S) FU","'FIFJ/1711","69200","FJ LONGLIFE JEC LR03 2S","LR03","C1","03. Domestic B to B","DOMESTIC OEM - FUJITSU GENERAL","0","4800","23-FEB-18","US$","0.0879","421.92","2","2","FOB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","MANUAL SHRINK LR03 (2S) FU","'FITK/18-020","69200","FJ LONGLIFE JEC LR03 2S","LR03","C1","03. Domestic B to B","DOMESTIC OEM - FUJITSU GENERAL","0","40000","07-MAR-18","US$","0.0879","3516","3","3","FOB","0","0","0","0","0","0","0","40,000","3,516","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","MANUAL SHRINK LR03 (2S) FU","'FITK/18-024","69200","FJ LONGLIFE JEC LR03 2S","LR03","C1","03. Domestic B to B","DOMESTIC OEM - FUJITSU GENERAL","0","1000","23-FEB-18","US$","0.0879","87.9","2","2","FOB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","MANUAL SHRINK LR03 (2S) FU","'FIFJ/1710","69200","FJ LONGLIFE JEC LR03 2S","LR03","C1","03. Domestic B to B","DOMESTIC OEM - FUJITSU GENERAL","0","30000","29-MAR-18","US$","0.0879","2637","3","4","FOB","0","0","30,000","0","0","0","0","30,000","2,637","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","MANUAL SHRINK LR03 (2S) FU","'FITK/18-036","69200","FJ LONGLIFE JEC LR03 2S","LR03","C1","03. Domestic B to B","DOMESTIC OEM - MITSUMI","0","80000","06-APR-18","US$","0.0879","7032","4","4","FOB","0","0","0","0","0","0","0","0","0","80,000","7,032","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","MANUAL SHRINK LR03 (2S) FU","'FIFJ/1713","69200","FJ LONGLIFE JEC LR03 2S","LR03","C1","03. Domestic B to B","DOMESTIC OEM - FUJITSU GENERAL","0","4800","26-APR-18","US$","0.0879","421.92","4","4","FOB","0","0","0","0","0","0","0","0","0","0","0","4,800","422","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","MANUAL SHRINK LR03 (2S) FU","'FITK/18-055","69200","FJ LONGLIFE JEC LR03 2S","LR03","C1","03. Domestic B to B","DOMESTIC OEM - MITSUMI","0","80000","25-MAY-18","US$","0.0879","7032","5","5","FOB","0","0","0","0","0","0","0","0","0","0","0","0","0","80,000","7,032","0","0","0","0","0","0","0","0","0","0","0","0"
"9","MANUAL SHRINK LR03 (2S) FU","'FIFJ/1713","69200","FJ LONGLIFE JEC LR03 2S","LR03","C1","03. Domestic B to B","DOMESTIC OEM - FUJITSU GENERAL","0","50400","26-APR-18","US$","0.0879","4430.16","4","4","FOB","0","0","0","0","0","0","0","0","0","0","0","50,400","4,430","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","MANUAL SHRINK LR03 (2S) FU","'FIFJ/1715","69200","FJ LONGLIFE JEC LR03 2S","LR03","C1","03. Domestic B to B","DOMESTIC OEM - FUJITSU GENERAL","0","13200","31-MAY-18","US$","0.0879","1160.28","5","6","FOB","0","0","0","0","0","0","0","0","0","0","0","0","0","13,200","1,160","0","0","0","0","0","0","0","0","0","0","0","0"
"11","MANUAL SHRINK LR03 (2S) FU","'FIFJ/1714","69200","FJ LONGLIFE JEC LR03 2S","LR03","C1","03. Domestic B to B","DOMESTIC OEM - FUJITSU GENERAL","0","34800","17-MAY-18","US$","0.0879","3058.92","5","5","FOB","0","0","0","0","0","0","0","0","0","0","0","34,800","3,059","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12","MANUAL SHRINK LR03 (2S) FU","'FITK/18-054","69200","FJ LONGLIFE JEC LR03 2S","LR03","C1","03. Domestic B to B","DOMESTIC OEM - MITSUMI","0","80000","04-MAY-18","US$","0.0879","7032","5","5","FOB","0","0","0","0","0","0","0","0","0","0","0","80,000","7,032","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13","MANUAL SHRINK LR03 (2S) INSP","'EI18-004","77600","SONY PLUS CHN LR03 2S WW V4","LR03","C1","05. SONY","FDK E - SONY SEND","0","137000","09-FEB-18","US$","0.0806","11042.2","2","2","FOB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14","MANUAL SHRINK LR03 (2S) INSP","'EI18-005","77600","SONY PLUS CHN LR03 2S WW V4","LR03","C1","05. SONY","FDK E - SONY SEND","0","240000","22-FEB-18","US$","0.0806","19344","2","2","FOB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15","MANUAL SHRINK LR03 (2S) INSP","'EI18-005","77600","SONY PLUS CHN LR03 2S WW V4","LR03","C1","05. SONY","FDK E - SONY SEND","0","252000","26-FEB-18","US$","0.0806","20311.2","2","2","FOB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"16","MANUAL SHRINK LR03 (2S) INSP","'EI18-011","77600","SONY PLUS CHN LR03 2S WW V4","LR03","C1","05. SONY","FDK E - SONY SEND","0","228000","05-MAR-18","US$","0.0806","18376.8","3","3","FOB","0","0","0","0","0","0","0","228,000","18,377","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"17","MANUAL SHRINK LR03 (2S) INSP","'EI18-012","77600","SONY PLUS CHN LR03 2S WW V4","LR03","C1","05. SONY","FDK E - SONY SEND","0","91000","09-FEB-18","US$","0.0806","7334.6","2","2","FOB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"18","MANUAL SHRINK LR03 (2S) INSP","'EI18-028","77600","SONY PLUS CHN LR03 2S WW V4","LR03","C1","05. SONY","FDK E - SONY SEND","0","60000","21-MAR-18","US$","0.0806","4836","3","3","FOB","0","0","0","0","0","0","0","60,000","4,836","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19","MANUAL SHRINK LR03 (2S) INSP","'EI18-031","77600","SONY PLUS CHN LR03 2S WW V4","LR03","C1","05. SONY","FDK E - SONY SEND","0","528000","23-MAR-18","US$","0.0806","42556.8","3","3","FOB","0","0","0","0","0","0","0","528,000","42,557","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","MANUAL SHRINK LR03 (2S) INSP","'SEND MAY O/F","77600","SONY PLUS CHN LR03 2S WW V4","LR03","C1","05. SONY","FDK E - SONY SEND","0","832000","23-MAY-18","US$","0.0806","67059.2","5","5","FOB","0","0","0","0","0","0","0","0","0","0","0","429,000","34,577","403,000","32,482","0","0","0","0","0","0","0","0","0","0","0","0"
"21","MANUAL SHRINK LR03 (2S) INSP","'SEND JUNE  O/F","77600","SONY PLUS CHN LR03 2S WW V4","LR03","C1","05. SONY","FDK E - SONY SEND","0","206000","02-JUN-18","US$","0.0806","16603.6","6","6","FOB","0","0","0","0","0","0","0","0","0","0","0","0","0","7,000","564","0","0","0","0","0","0","0","0","0","0","0","0"
"22","MANUAL SHRINK LR03 (2S) INSP","'SEND JUL  O/F","77600","SONY PLUS CHN LR03 2S WW V4","LR03","C1","05. SONY","FDK E - SONY SEND","0","221000","20-JUL-18","US$","0.0806","17812.6","7","7","FOB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"23","MANUAL SHRINK LR03 (2S) INSP","'EI18-049","77600","SONY PLUS CHN LR03 2S WW V4","LR03","C1","05. SONY","FDK E - SONY SEND","0","47000","12-APR-18","US$","0.0806","3788.2","4","4","FOB","0","0","0","0","0","0","0","0","0","47,000","3,788","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"24","MANUAL SHRINK LR03 (2S) INSP","'EI18-050","77600","SONY PLUS CHN LR03 2S WW V4","LR03","C1","05. SONY","FDK E - SONY SEND","0","816000","23-APR-18","US$","0.0806","65769.6","4","4","FOB","0","0","0","0","0","0","0","0","0","783,000","63,110","33,000","2,660","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"25","MANUAL SHRINK LR03 (2S) INSP","'EI18-026","77600","SONY PLUS CHN LR03 2S WW V4","LR03","C1","05. SONY","FDK E - SONY SEND","0","59000","14-MAR-18","US$","0.0806","4755.4","3","4","FOB","0","59,000","0","0","0","0","0","59,000","4,755","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"26","MANUAL SHRINK LR03 (2S) INSP","'EI18-052","77600","SONY PLUS CHN LR03 2S WW V4","LR03","C1","05. SONY","FDK E - SONY SEND","0","144000","26-APR-18","US$","0.0806","11606.4","4","4","FOB","0","0","0","0","0","0","0","0","0","0","0","144,000","11,606","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"27","MANUAL SHRINK LR03 (2S) FU INSP","'18FI001","23545","MITSUBISHI G YED LR03 2S","LR03","C1","06. MITSUBISHI","FDK E - MITSUBISHI GE","0","49800","05-FEB-18","US$","0.0883","4397.34","2","2","FOB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"28","MANUAL SHRINK LR03 (2S) FU INSP","'18FI013","23545","MITSUBISHI G YED LR03 2S","LR03","C1","06. MITSUBISHI","FDK E - MITSUBISHI GE","0","90600","20-APR-18","US$","0.0883","7999.98","4","4","FOB","0","0","0","0","0","0","0","0","0","0","0","90,600","8,000","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"29","MANUAL SHRINK LR03 (2S) FU INSP","'18FI006","23545","MITSUBISHI G YED LR03 2S","LR03","C1","06. MITSUBISHI","FDK E - MITSUBISHI GE","0","60600","28-MAR-18","US$","0.0883","5350.98","3","4","FOB","0","60,600","0","0","0","0","0","60,600","5,351","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
